id,customer_id,name,cable_id,cutting_length,tall_strip_length,short_strip_length,blue_strip_length,brown_strip_length,yellow_strip_length,blue_terminal_id,brown_terminal_id,yellow_terminal_id,double_terminal_id,plug_id,cord_id,extra_earth_length,cord_length,description,created_by,created_at,updated_at,deleted_at
140550064,32,,120030010,172,15.5,2.5,10.5,10.5,15.5,,,,,,,,0,,,,,
140550079,32,,120040072,259,2,2,,,,,,,,,,,0,,,,,
140590009,12,,120030006,199,9,2.5,9,9,9,,,,,,,,0,,,,,
140640007,25,,120030008,248,40,2.5,11,11,40,,,,,,,,2.5,,,,,
140640026,25,,120030050,188,40,2.5,20,20,40,,,,,,,,3,,,,,
140640035,25,,120030008,248,37,2.5,9,9,37,,,,,,,,2.5,,,,,
140670001,24,,120030047,110,4,2.5,,,,,,,,,,,0,,,,,
140670004,35,,120030008,180,7,5,,,,,,,,,,,0,,,,,
140670007,35,,120030008,110,4,2.5,,,,,,,,,,,0,,,,,
140670012,2,,120030011,152,20,2.5,,,,,,,,,,,,unknown,,,,
140680007,18,,120030009,225,15,2.5,10,10,15,,,,,,,,12,,,,,
140760004,7,,120030121,152,8,2.5,6,6,8,,,,,,,,0,,,,,
140830001,5,,120030006,257,70,2.5,,,,,,,,,,,0,,,,,
140850002,24,,120030011,153,6,2.5,4,4,6,,,,,,,,0,,,,,
140860001,9,,120030105,150,5,2.5,,,,,,,,,,,15,,,,,
140890002,29,,120030006,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890003,29,,120030006,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890004,29,,120030094,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890005,29,,120030094,200,21.4,2.5,,,,,,,,,,,14,,,,,
141000006,31,,120030006,200,10,2.5,10,10,10,,,,,,,,2,,,,,
141030001,27,,120030008,195,7,2.5,,,,,,,,,,,0,,,,,
141030003,27,,120030008,160,8.7,2.5,,,,,,,,,,,0,,,,,
141030028,27,,120030008,195,8.7,2.5,,,,,,,,,,,0,,,,,
141030029,21,,0,195,7,2.5,,,,,,,,,,,0,,,,,
141060001,37,,120030039,155,24,2.5,,,,,,,,,,,2.5,,,,,
141060005,37,,120030008,112,5,2.5,,,,,,,,,,,0,,,,,
141130001,23,,120030006,175,10,2.5,,,,,,,,,,,20,,,,,
141130002,23,,120030006,220,10,2.5,,,,,,,,,,,0,,,,,
141170009,11,,120030008,206,18,2.5,,,,,,,,,,,18,,,,,
141170010,11,,0,208,18,2.5,,,,,,,,,,,21,,,,,
141170016,11,,120030094,220,130,2.5,,,,,,,,,,,2,,,,,
141170021,11,,120030008,206,18,2.5,,,,,,,,,,,18,,,,,
141170022,11,,120030008,206,18,2.5,,,,,,,,,,,19,,,,,
141200050,3,,120030039,100,1.4,2,,,,,,,,,,,0,,,,,
141270007,6,,120030039,116,20.8,2,,,,,,,,,,,4.5,,,,,
141300004,42,,120040072,130,4,2.5,,,,,,,,,,,0,,,,,
141300008,42,,120030039,149,23.5,2.5,,,,,,,,,,,5,,,,,
141300014,42,,120040072,150,15,2.5,,,,,,,,,,,15,,,,,
141300015,42,,120040049,150,5,2.5,5,5,0,,,,,,,,0,,,,,
141320018,30,,120030011,88,6,2.5,5,6,6,,,,,,,,0,,,,,
141320031,30,,120030039,192,2.5,2,,,,,,,,,,,11,,,,,
141320032,30,,120030039,221,2.5,2,,,,,,,,,,,20,,,,,
141320033,30,,120030039,212,2.5,2,,,,,,,,,,,11,,,,,
141320055,30,,120030039,180,2.5,1.4,,,,,,,,,,,0,,,,,
141650001,10,,120030107,183,12,2.5,9,9,12,,,,,,,,0,,,,,
141670001,17,,120030107,192,30.5,2.5,26.5,26.5,30.5,,,,,,,,3.5,,,,,
140310075,16,,120030094,219,20,2.5,20,20,15.5,,,,,,,,1,,,,,
140310031,16,,120030008,203,3,2,3,3,30,,,,,,,,15,,,,,
140550084,32,,120030116,190,2,2,,,,,,,,,,,0,,,,,
140220019,26,,120030050,197,36,2.5,15,15,36,,,,,,,,1.5,,,,,
140310016,16,,120030008,2185,26.5,2.5,3,3,26.5,,,,,,,,15,,,,,
140310017,16,,120030008,245,44,2.5,44,6.5,34,,,,,,,,24,,,,,
140450027,34,,120030094,219,23,2,15.5,15.5,23,,,,,,,,1,,,,,
140450039,34,,120030107,176,12,2,9,9,12,,,,,,,,3,,,,,
140310096,16,,120030107,192,33,2,19.5,19.5,33,,,,,,,,0.85,,,,,
140450035,34,,120030094,225,27,2,27,27,21,,,,,,,,1,,,,,
140010298,43,,,,,,,,,,,,,,,,15,,,,,
140450047,34,,120030011,140,6,2.5,5,5,6,,,,,,,,0,,,,,
