"id","order_id","promised_date","promised_quantity","status","tags","description","created_by","created_at","updated_at","deleted_at"
"83","33","2025/06/14","5000","",NULL,"","","2025-10-18 14:39:55","",""
"84","33","2025/06/20","7000","",NULL,"","","2025-10-18 14:39:55","",""
"85","33","","5000","",NULL,"","","2025-10-18 14:39:55","",""
"86","34","2025/06/01","3000","",NULL,"","","2025-10-18 14:39:55","",""
"87","34","2025/06/14","4000","",NULL,"","","2025-10-18 14:39:55","",""
"88","34","2025/06/20","4000","",NULL,"","","2025-10-18 14:39:55","",""
"89","34","","4000","",NULL,"","","2025-10-18 14:39:55","",""
"90","35","2025/05/21","3000","",NULL,"","","2025-10-18 14:39:55","",""
"91","36","2025/05/21","3000","",NULL,"","","2025-10-18 14:39:55","",""
"92","37","2025/05/21","3000","",NULL,"","","2025-10-18 14:39:55","",""
"93","38","2025/07/11","2000","",NULL,"","","2025-10-18 14:39:55","",""
"94","39","2025/07/05","3000","",NULL,"","","2025-10-18 14:39:55","",""
"95","39","2025/07/11","6000","",NULL,"","","2025-10-18 14:39:55","",""
"96","40","2025/07/05","500","",NULL,"","","2025-10-18 14:39:55","",""
"97","41","2025/06/22","1000","",NULL,"","","2025-10-18 14:39:55","",""
"98","41","2025/06/27","700","",NULL,"","","2025-10-18 14:39:55","",""
"99","41","2025/07/11","1700","",NULL,"","","2025-10-18 14:39:55","",""
"100","41","2025/07/18","1800","",NULL,"","","2025-10-18 14:39:55","",""
"101","42","2025/06/22","2000","",NULL,"","","2025-10-18 14:39:55","",""
"102","42","2025/06/27","3600","",NULL,"","","2025-10-18 14:39:55","",""
"103","42","2025/07/11","400","",NULL,"","","2025-10-18 14:39:55","",""
"104","42","2025/07/18","300","",NULL,"","","2025-10-18 14:39:55","",""
"105","43","2025/07/12","10000","",NULL,"","","2025-10-18 14:39:55","",""
"106","43","2025/07/16","10000","",NULL,"","","2025-10-18 14:39:55","",""
"107","43","2025/07/22","10000","",NULL,"","","2025-10-18 14:39:55","",""
"108","43","2025/07/31","10000","",NULL,"","","2025-10-18 14:39:55","",""
"109","43","2025/08/09","10000","",NULL,"","","2025-10-18 14:39:55","",""
"110","43","2025/08/18","10000","",NULL,"","","2025-10-18 14:39:55","",""
"111","44","2025/07/30","8500","",NULL,"","","2025-10-18 14:39:55","",""
"112","45","2025/06/18","5000","",NULL,"","","2025-10-18 14:39:55","",""
"113","45","2025/06/21","3000","",NULL,"","","2025-10-18 14:39:55","",""
"114","45","2025/06/24","3000","",NULL,"","","2025-10-18 14:39:55","",""
"115","46","2025/09/17","400","",NULL,"","","2025-10-18 14:39:55","",""
"116","47","2025/09/17","700","",NULL,"","","2025-10-18 14:39:55","",""
"117","48","2025/08/23","3400","",NULL,"","","2025-10-18 14:39:55","",""
"118","48","2025/08/27","3400","",NULL,"","","2025-10-18 14:39:55","",""
"119","48","2025/09/02","3400","",NULL,"","","2025-10-18 14:39:55","",""
"120","48","2025/09/13","3400","",NULL,"","","2025-10-18 14:39:55","",""
"121","48","2025/09/17","3400","",NULL,"","","2025-10-18 14:39:55","",""
"122","49","2025/08/23","3600","",NULL,"","","2025-10-18 14:39:55","",""
"123","49","2025/08/27","3600","",NULL,"","","2025-10-18 14:39:55","",""
"124","49","2025/09/02","3600","",NULL,"","","2025-10-18 14:39:55","",""
"125","49","2025/09/13","3600","",NULL,"","","2025-10-18 14:39:55","",""
"126","49","2025/09/17","3600","",NULL,"","","2025-10-18 14:39:55","",""
"127","50","2025/08/23","360","",NULL,"","","2025-10-18 14:39:55","",""
"128","50","2025/08/27","360","",NULL,"","","2025-10-18 14:39:55","",""
"129","50","2025/08/30","500","",NULL,"","","2025-10-18 14:39:55","",""
"130","50","2025/09/02","360","",NULL,"","","2025-10-18 14:39:55","",""
"131","50","2025/09/03","500","",NULL,"","","2025-10-18 14:39:55","",""
"132","50","2025/09/13","360","",NULL,"","","2025-10-18 14:39:55","",""
"133","50","2025/09/17","360","",NULL,"","","2025-10-18 14:39:55","",""
"134","51","2025/09/06","1000","",NULL,"","","2025-10-18 14:39:55","",""
"135","51","2025/09/11","800","",NULL,"","","2025-10-18 14:39:55","",""
"136","52","2025/08/27","1500","",NULL,"","","2025-10-18 14:39:55","",""
"137","52","2025/08/31","1000","",NULL,"","","2025-10-18 14:39:55","",""
