id,idd,order_id,quantity,maximum_batch_size,printing_date,cutting_date,status,tags,description,created_by,created_at,updated_at,deleted_at
81,92,31,3000,300,5/24/2025,,,NULL,,,5/24/2025 0:00,,
82,93,27,800,300,5/24/2025,,,NULL,,,5/24/2025 0:00,,
83,94,26,2700,300,5/24/2025,,,NULL,,,5/24/2025 0:00,,
84,95,23,1500,300,5/25/2025,,,NULL,,,5/25/2025 0:00,,
85,96,24,500,300,5/25/2025,,,NULL,,,5/25/2025 0:00,,
86,97,26,2010,300,5/25/2025,,,NULL,6.7,,5/25/2025 0:00,,
87,98,30,3000,300,5/25/2025,,,NULL,11,,5/25/2025 0:00,,
88,99,31,3000,300,5/25/2025,,,NULL,11,,5/25/2025 0:00,,
89,100,23,1500,300,5/25/2025,,,NULL,6,,5/25/2025 0:00,,
90,101,18,2653,500,5/25/2025,,,NULL,6.306,,5/25/2025 0:00,,
91,102,30,3000,300,5/26/2025,,,NULL,,,5/26/2025 0:00,,
92,103,31,3000,300,5/26/2025,,,NULL,,,5/26/2025 0:00,,
93,104,22,2700,300,5/27/2025,,,NULL,,,5/27/2025 0:00,,
94,105,22,3000,300,5/27/2025,,,NULL,,,5/27/2025 0:00,,
95,106,18,5000,500,5/28/2025,,,NULL,,,5/28/2025 0:00,,
96,107,31,3000,300,5/28/2025,,,NULL,,,5/28/2025 0:00,,
97,108,17,1500,300,5/28/2025,,,NULL,,,5/28/2025 0:00,,
98,109,30,6000,300,5/31/2025,,,NULL,,,5/31/2025 0:00,,
99,110,17,1500,300,5/31/2025,,,NULL,,,5/31/2025 0:00,,
100,111,30,3000,300,6/1/2025,,,NULL,,,6/1/2025 0:00,,
101,112,17,1500,300,6/2/2025,,,NULL,,,6/2/2025 0:00,,
102,113,18,5000,500,5/23/2025,,,NULL,,,5/23/2025 0:00,,
103,114,17,1500,300,6/2/2025,,,NULL,,,6/2/2025 0:00,,
104,115,18,3000,500,6/10/2025,,,NULL,,,6/10/2025 0:00,,
105,116,30,6000,300,6/8/2025,,,NULL,,,6/8/2025 0:00,,
106,117,38,2000,300,6/10/2025,,,NULL,,,6/10/2025 0:00,,
107,119,39,300,300,6/10/2025,,,NULL,,,6/10/2025 0:00,,
108,120,30,6000,300,6/10/2025,,,NULL,,,6/10/2025 0:00,,
109,121,39,3000,300,6/10/2025,,,NULL,,,6/10/2025 0:00,,
110,122,17,3000,300,6/10/2025,,,NULL,,,6/10/2025 0:00,,
111,123,41,3000,300,6/22/2025,,,NULL,,,6/22/2025 0:00,,
112,124,42,3000,300,6/22/2025,,,NULL,,,6/22/2025 0:00,,
113,125,4,2000,300,6/23/2025,,,NULL,,,6/23/2025 0:00,,
114,126,30,5000,300,6/23/2025,,,NULL,,,6/23/2025 0:00,,
115,127,42,3300,300,6/23/2025,,,NULL,,,6/23/2025 0:00,,
116,128,4,6870,300,6/24/2025,,,NULL,,,6/24/2025 0:00,,
117,129,34,6000,500,6/24/2025,,,NULL,,,6/24/2025 0:00,,
118,129.5,18,2000,500,6/24/2025,,,NULL,,,6/24/2025 0:00,,
119,130,17,3005,300,6/25/2025,,,NULL,,,6/25/2025 0:00,,
120,131,41,2200,300,6/25/2025,,,NULL,,,6/25/2025 0:00,,
121,132,31,6000,300,6/28/2025,,,NULL,,,6/28/2025 0:00,,
122,133,33,3000,500,6/28/2025,,,NULL,,,6/28/2025 0:00,,
123,134,45,500,500,6/28/2025,,,NULL,,,6/28/2025 0:00,,
124,135,31,1500,300,6/29/2025,,,NULL,,,6/29/2025 0:00,,
125,136,30,6000,300,6/30/2025,,,NULL,,,6/30/2025 0:00,,
126,137,34,5000,500,6/30/2025,,,NULL,,,6/30/2025 0:00,,
127,139,43,3000,300,7/2/2025,,,NULL,,,7/2/2025 0:00,,
128,141,34,4000,500,7/8/2025,,,NULL,,,7/8/2025 0:00,,
129,142,39,5700,300,7/8/2025,,,NULL,,,7/8/2025 0:00,,
130,143,43,7000,300,7/9/2025,,,NULL,,,7/9/2025 0:00,,
131,144,45,50,300,7/12/2025,,,NULL,,,7/12/2025 0:00,,
132,145,33,7000,500,7/12/2025,,,NULL,,,7/12/2025 0:00,,
133,147,44,1500,300,7/14/2025,,,NULL,,,7/14/2025 0:00,,
134,148,43,6000,300,7/15/2025,,,NULL,,,7/15/2025 0:00,,
135,149,45,100,100,7/15/2025,,,NULL,,,7/15/2025 0:00,,
136,151,43,3000,300,7/19/2025,,,NULL,,,7/19/2025 0:00,,
137,152,43,3000,300,7/20/2025,,,NULL,,,7/20/2025 0:00,,
138,153,30,3000,300,7/20/2025,,,NULL,,,7/20/2025 0:00,,
139,154,44,7000,300,7/22/2025,,,NULL,,,7/22/2025 0:00,,
140,155,45,100,300,7/26/2025,,,NULL,,,7/26/2025 0:00,,
141,156,45,300,300,7/26/2025,,,NULL,,,7/26/2025 0:00,,
142,157,43,1500,300,7/26/2025,,,NULL,,,7/26/2025 0:00,,
143,158,45,500,100,7/26/2025,,,NULL,,,7/26/2025 0:00,,
144,159,45,1000,300,7/28/2025,,,NULL,,,7/28/2025 0:00,,
145,160,30,3000,300,7/29/2025,,,NULL,,,7/29/2025 0:00,,
146,161,43,1500,300,7/29/2025,,,NULL,,,7/29/2025 0:00,,
147,162,30,,300,7/30/2025,,,NULL,متاسفانه برگ برش آن پرینت گرفته نشد,,7/30/2025 0:00,,
148,163,43,3000,300,7/30/2025,,,NULL,,,7/30/2025 0:00,,
149,164,33,100,500,7/30/2025,,,NULL,,,7/30/2025 0:00,,
150,165,4,6,300,7/30/2025,,,NULL,,,7/30/2025 0:00,,
151,166,45,900,300,7/30/2025,,,NULL,,,7/30/2025 0:00,,
152,167,45,900,300,8/2/2025,,,NULL,,,8/2/2025 0:00,,
153,168,30,3000,300,8/2/2025,,,NULL,,,8/2/2025 0:00,,
154,169,45,900,300,8/3/2025,,,NULL,,,8/3/2025 0:00,,
155,170,43,3000,300,8/3/2025,,,NULL,,,8/3/2025 0:00,,
156,180,4,12,300,8/3/2025,,,NULL,,,8/3/2025 0:00,,
157,181,30,3000,300,8/4/2025,,,NULL,,,8/4/2025 0:00,,
158,182,17,65,300,8/4/2025,,,NULL,,,8/4/2025 0:00,,
159,183,43,3000,300,8/5/2025,,,NULL,,,8/5/2025 0:00,,
160,184,45,900,300,8/5/2025,,,NULL,,,8/5/2025 0:00,,
161,185,46,400,300,8/6/2025,,,NULL,,,8/6/2025 0:00,,
162,186,47,700,300,8/6/2025,,,NULL,,,8/6/2025 0:00,,
163,187,45,1500,300,8/6/2025,,,NULL,,,8/6/2025 0:00,,
164,188,43,1500,300,8/9/2025,,,NULL,,,8/9/2025 0:00,,
165,189,30,2000,300,8/9/2025,,,NULL,,,8/9/2025 0:00,,
166,191,38,75,300,8/10/2025,,,NULL,فقط بچ A4 پرینت گرفته شد,,8/10/2025 0:00,,
167,192,45,1500,300,8/10/2025,,,NULL,,,8/10/2025 0:00,,
168,193,43,3000,300,8/10/2025,,,NULL,,,8/10/2025 0:00,,
169,194,43,3000,300,8/13/2025,,,NULL,,,8/13/2025 0:00,,
170,195,43,3000,300,8/16/2025,,,NULL,,,8/16/2025 0:00,,
171,196,48,3000,300,8/17/2025,,,NULL,,,8/17/2025 0:00,,
172,197,50,1800,300,8/18/2025,,,NULL,,,8/18/2025 0:00,,
173,198,49,3000,300,8/18/2025,,,NULL,,,8/18/2025 0:00,,
174,199,46,3,300,8/17/2025,,,NULL,کسری مانده از پلن,,8/17/2025 0:00,,
175,200,45,1850,300,8/18/2025,,,NULL,,,8/18/2025 0:00,,
176,201,48,3000,300,8/18/2025,,,NULL,,,8/18/2025 0:00,,
177,202,49,3000,300,8/18/2025,,,NULL,,,8/18/2025 0:00,,
178,203,48,3000,300,8/19/2025,,,NULL,,,8/19/2025 0:00,,
179,204,49,3000,300,8/19/2025,,,NULL,,,8/19/2025 0:00,,
180,208,51,1800,300,8/23/2025,,,NULL,,,8/23/2025 0:00,,
181,209,52,2500,300,8/25/2025,,,NULL,,,8/25/2025 0:00,,
182,210,50,1000,300,8/25/2025,,,NULL,,,8/25/2025 0:00,,
183,211,44,2,2,8/26/2025,,,NULL,کسری مانده از پلن(فقط بچ برش پرینت شد),,8/26/2025 0:00,,
184,212,48,3000,300,8/30/2025,,,NULL,,,8/30/2025 0:00,,
185,213,49,3000,300,8/30/2025,,,NULL,,,8/30/2025 0:00,,
186,214,43,3000,300,8/30/2025,,,NULL,,,8/30/2025 0:00,,
187,215,48,3000,300,9/2/2025,,,NULL,,,9/2/2025 0:00,,
188,216,49,3000,300,9/2/2025,,,NULL,,,9/2/2025 0:00,,
189,217,43,3000,300,9/2/2025,,,NULL,,,9/2/2025 0:00,,
