"id","order_idd","order_id","date","product_id","quantity","plan","qnt","plan2","qnt2","description","status","tags","created_by","created_at","updated_at","deleted_at"
"80","1404/01-140010279","#N/A","2025/04/23","140010279","3600","1","3600","","","","",NULL,"","2025-10-19 11:22:16","",""
"81","1404/01-140010295","#N/A","2025/04/23","140010295","105","1","105","","","","",NULL,"","2025-10-19 11:22:16","",""
"87","1404/01-140010279","#N/A","2025/04/26","140010279","1600","1","1600","","","","",NULL,"","2025-10-19 11:22:16","",""
"93","1404/01-140010279","#N/A","2025/04/27","140010279","603","1","603","","","","",NULL,"","2025-10-19 11:22:16","",""
"103","1404/01-140010280","#N/A","2025/04/29","140010280","99","1","99","","","","",NULL,"","2025-10-19 11:22:16","",""
"108","1403/12-140090143","#N/A","2025/04/30","140090143","43","12","43","","","","",NULL,"","2025-10-19 11:22:16","",""
"111","1403/12-140220012","#N/A","2025/04/30","140220012","15","12","15","","","","",NULL,"","2025-10-19 11:22:16","",""
"138","1404/01-140010279","#N/A","2025/05/13","140010279","12","1","12","","","","",NULL,"","2025-10-19 11:22:16","",""
"139","1403/-140550019","#N/A","2025/05/13","140550019","11","1000","11","","","","",NULL,"","2025-10-19 11:22:16","",""
"287","#VALUE!","#VALUE!","2025/07/01","140090143","14","-","14","","","","",NULL,"","2025-10-19 11:22:16","",""
"288","#VALUE!","#VALUE!","2025/07/01","140310016","2","-","2","","","","",NULL,"","2025-10-19 11:22:16","",""
"290","#VALUE!","#VALUE!","2025/07/01","140310075","24","-","24","","","","",NULL,"","2025-10-19 11:22:16","",""
"292","#VALUE!","#VALUE!","2025/07/01","140220012","19","-","19","","","","",NULL,"","2025-10-19 11:22:16","",""
"293","#VALUE!","#VALUE!","2025/07/01","141650001","6","-","6","","","","",NULL,"","2025-10-19 11:22:16","",""
"369","1403/-140550022","#N/A","2025/07/23","140550022","30","1000","30","","","","",NULL,"","2025-10-19 11:22:16","",""
"403","1403/-140550088","#N/A","2025/07/30","140550088","30","1000","30","","","","",NULL,"","2025-10-19 11:22:16","",""
"457","#VALUE!","#VALUE!","2025/08/17","140550056","30","","30","","","","",NULL,"","2025-10-19 11:22:16","",""
