"id","cut_id","size","description","status","tags","created_by","created_at","updated_at","deleted_at"
"270","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"271","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"272","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"273","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"274","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"275","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"276","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"277","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"278","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"279","23","300","","",NULL,"","2025-10-18 14:54:59","",""
"280","24","300","","",NULL,"","2025-10-18 14:54:59","",""
"281","24","300","","",NULL,"","2025-10-18 14:54:59","",""
"282","24","300","","",NULL,"","2025-10-18 14:54:59","",""
"283","24","100","","",NULL,"","2025-10-18 14:54:59","",""
"284","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"285","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"286","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"287","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"288","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"289","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"290","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"291","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"292","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"293","25","300","","",NULL,"","2025-10-18 14:54:59","",""
"294","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"295","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"296","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"297","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"298","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"299","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"300","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"301","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"302","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"303","26","300","","",NULL,"","2025-10-18 14:54:59","",""
"304","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"305","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"306","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"307","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"308","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"309","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"310","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"311","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"312","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"313","27","300","","",NULL,"","2025-10-18 14:54:59","",""
"314","28","300","","",NULL,"","2025-10-18 14:54:59","",""
