"id","idd","order_id","quantity","maximum_batch_size","printing_date","cutting_date","status","tags","description","created_by","created_at","updated_at","deleted_at"
"125","117.2","33","6900","","","","",NULL,"تبدیل از کیا صنعت","","2025/06/10","",""
"132","122.2","33","3100","","","","",NULL,"تبدیل از کیا صنعت","","2025/06/11","",""
"124","117.1","18","-6900","","","","",NULL,"تبدیل به مطهر ضمیر","","2025/06/10","",""
"131","122.1","18","-3100","","","","",NULL,"تبدیل به مطهر ضمیر","","2025/06/11","",""
"201","199","46","3","300","","","",NULL,"کسری مانده از پلن","","2025/08/17","",""
