"id","alias","name","technical_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"120100272","","170340-3 ترمینال نری","AMP:170340-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100273","","964201-1 ترمینال مادگی","AMP:964201-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100274","","ترمینال فیوز پیوسته 2تایی پایه بلند","AH6211-2.8B    THB:PP0131902","","0",NULL,"","2025-10-18 11:39:18","",""
"120100275","","ترمینال فیوز پایه کوتاه","AH6210-2.8A       THB:PP0132001","","0",NULL,"","2025-10-18 11:39:18","",""
"120100276","","ترمینال فیوز پایه بلند","AH6210-2.8B       THB:PP0132002","","0",NULL,"","2025-10-18 11:39:18","",""
"120100277","","ترمینال مادگی پشت صاف کوچک  پایه کوتاه","AH622-4.8A     THB:PP0130905","","0",NULL,"","2025-10-18 11:39:18","",""
"120100278","","ترمینال مادگی پشت صاف کوچک  پایه بلند","AH623-W4.8D","","0",NULL,"","2025-10-18 11:39:18","",""
"120100279","","ترمینال نری تخت  بدون خار  پایه متوسط","AH613-6.3X0.8B     THB:PP0136901","","0",NULL,"","2025-10-18 11:39:18","",""
"120100280","","ترمینال نری تخت  بدون خار  پایه بلند","AH613-6.3X0.8E     THB:PP0136902","","0",NULL,"","2025-10-18 11:39:18","",""
"120100281","","ترمینال مادگی پشت صاف پایه کوتاه","AH621-6.3A    THB:PP0108611","","0",NULL,"","2025-10-18 11:39:18","",""
"120100282","","ترمینال مادگی پشت صاف پایه متوسط","AH621-6.3B      THB:PP0108612","","0",NULL,"","2025-10-18 11:39:18","",""
"120100283","","ترمینال مادگ پشت صاف پاه بلند","AH621-6.3C     THB:PP0108613","","0",NULL,"","2025-10-18 11:39:18","",""
"120100284","","ترمینال مادگی سری 9.5","AH621-9.5D   THB:PP0105802","","0",NULL,"","2025-10-18 11:39:18","",""
"120110183","","ترمینال مادگی   2/8 كلید دارآبکاری","YEONHO: YRT110-05(S)E        LHE: D280K-TB255","","0",NULL,"","2025-10-18 11:39:18","",""
"120100260","","ترمینال مادگی A1501","LHE:A1501-TP2","","0",NULL,"","2025-10-18 11:39:18","",""
"120100261","","ترمینال مادگی C2506-TP2","LHE:C2506-TP2","","0",NULL,"","2025-10-18 11:39:18","",""
"120100262","","ترمینال مادگی C25008-01PT","HCB:C25008-01PT","","0",NULL,"","2025-10-18 11:39:18","",""
"120100264","","C58001-12PT ترمینال مادگی","HCB:C58001-12PT(SCS1-PT)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100265","","ترمینال مادگی 1-1217264","AMP:1217264-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100234","","ترمینال پرچمی آبکاری  TP2504-0038","HCB:TP2504-0038","","0",NULL,"","2025-10-18 11:39:18","",""
"120100235","","C25003-01RT(35053-9002) ترمینال نری","HCB: C25003-01RT   (35053-9002)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100239","","ترمینال ST730993-3","ST730993-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100242","","ترمینال TS1002-0102","HCB:TS1002-0102","","0",NULL,"","2025-10-18 11:39:18","",""
"120100236","","TP1872-7035 ترمینال مادگی","HCB:TP1872-7035","","0",NULL,"","2025-10-18 11:39:18","",""
"120100243","","TP1872-7025 ترمینال مادگی","HCB:TP1872-7025","","0",NULL,"","2025-10-18 11:39:18","",""
"120100244","","TP2502-0028 ترمینال مادگی","HCB:TP2502-0028","","0",NULL,"","2025-10-18 11:39:18","",""
"120100241","","TP2502-7038 ترمینال مادگی","HCBTP2502-7038-LX: LX6H25T028-03(170328-1)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100240","","ترمینال مادگی LX6N800002-01(2031)","LX: LX6N800002-01(2031)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100238","","C2507-TP2 ترمینال نری","C2507-TP2","","0",NULL,"","2025-10-18 11:39:18","",""
"120100245","","ترمینال مادگی   WB20L-61209","WB20L-61209","","0",NULL,"","2025-10-18 11:39:18","",""
"120110182","","731329-3   ترمینال","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100247","","ترمینال پرچمی ابکاری 4/8","TB2223.80","","0",NULL,"","2025-10-18 11:39:18","",""
"120100248","","ترمینال مهره خور حفره 6 سایز 6","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100249","","ترمینال نری خاردار 6/3 پایه کوتاه","SF1EU1KM(6.3) RP 0100101193","","0",NULL,"","2025-10-18 11:39:18","",""
"120110174","","ترمینال لول نری","TKS1801","","0",NULL,"","2025-10-18 11:39:18","",""
"120140166","","روکش پایه ترمینال  لول نری","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110175","","ترمینال  مهره خور 6(سایز 9)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110176","","ترمینال کولری مادگی چاکدار سایز 1.5","MT530057-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120110178","","ترمینال نری ساده (0.75-2)","KET:ST740255-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120110179","","ترمینال مادگی چاکدار سایز(0.3-0.5) ابکاری","KET: ST730173-2","","0",NULL,"","2025-10-18 11:39:18","",""
"120100218","","ترمینال نری C20003-01RT(SPNI-001T-P0.5)","ZUCH: TR2001J-3(A)-C20003-01RT(SPNI-001T-P0.5)","","0",NULL,"","2025-10-18 11:39:18","",""
