"id","date","product_id","quantity","description","status","tags","created_by","created_at","updated_at","deleted_at"
"4","2025/03/09","140450035","100","","",NULL,"","2025-10-19 11:10:32","",""
"5","2025/03/10","140450035","1050","","",NULL,"","2025-10-19 11:10:32","",""
"6","2025/03/11","140450035","800","","",NULL,"","2025-10-19 11:10:32","",""
"7","2025/02/04","140450027","1200","","",NULL,"","2025-10-19 11:10:32","",""
"8","2025/02/12","140450027","1200","","",NULL,"","2025-10-19 11:10:32","",""
"9","2025/02/15","140450027","593","","",NULL,"","2025-10-19 11:10:32","",""
"22","2025/04/07","140450035","44","","",NULL,"","2025-10-19 11:10:32","",""
"32","2025/04/09","140030040","300","","",NULL,"","2025-10-19 11:10:32","",""
"46","2025/04/14","140030040","2900","","",NULL,"","2025-10-19 11:10:32","",""
"49","2025/04/15","140020181","1725","","",NULL,"","2025-10-19 11:10:32","",""
"52","2025/04/16","140010117","300","","",NULL,"","2025-10-19 11:10:32","",""
"53","2025/04/16","140020181","4050","","",NULL,"","2025-10-19 11:10:32","",""
"54","2025/04/16","140030039","2300","","",NULL,"","2025-10-19 11:10:32","",""
"56","2025/04/19","140010117","1200","","",NULL,"","2025-10-19 11:10:32","",""
"58","2025/04/19","140020181","2250","","",NULL,"","2025-10-19 11:10:32","",""
"59","2025/04/19","140030039","2000","","",NULL,"","2025-10-19 11:10:32","",""
"60","2025/04/19","140030040","1300","","",NULL,"","2025-10-19 11:10:32","",""
"64","2025/04/20","140030039","1800","","",NULL,"","2025-10-19 11:10:32","",""
"65","2025/04/20","140030040","3500","","",NULL,"","2025-10-19 11:10:32","",""
"67","2025/04/21","140030039","1300","","",NULL,"","2025-10-19 11:10:32","",""
"68","2025/04/21","140030040","2200","","",NULL,"","2025-10-19 11:10:32","",""
"70","2025/04/22","140020181","75","","",NULL,"","2025-10-19 11:10:32","",""
"71","2025/04/22","140030040","900","","",NULL,"","2025-10-19 11:10:32","",""
"72","2025/04/22","140310096","1300","","",NULL,"","2025-10-19 11:10:32","",""
"76","2025/04/23","140010117","1950","","",NULL,"","2025-10-19 11:10:32","",""
"77","2025/04/23","140010230","300","","",NULL,"","2025-10-19 11:10:32","",""
"78","2025/04/23","140030039","1500","","",NULL,"","2025-10-19 11:10:32","",""
"79","2025/04/23","140310096","600","","",NULL,"","2025-10-19 11:10:32","",""
"82","2025/04/24","140310058","1300","","",NULL,"","2025-10-19 11:10:32","",""
"83","2025/04/26","140010117","1800","","",NULL,"","2025-10-19 11:10:32","",""
"84","2025/04/26","140010230","2850","","",NULL,"","2025-10-19 11:10:32","",""
"85","2025/04/26","140010255","600","","",NULL,"","2025-10-19 11:10:32","",""
"86","2025/04/26","140310096","1000","","",NULL,"","2025-10-19 11:10:32","",""
"88","2025/04/27","140010117","750","","",NULL,"","2025-10-19 11:10:32","",""
"89","2025/04/27","140010230","1700","","",NULL,"","2025-10-19 11:10:32","",""
"90","2025/04/27","140010255","400","","",NULL,"","2025-10-19 11:10:32","",""
"91","2025/04/27","140030039","2200","","",NULL,"","2025-10-19 11:10:32","",""
"92","2025/04/27","140310096","100","","",NULL,"","2025-10-19 11:10:32","",""
"94","2025/04/28","140010117","975","","",NULL,"","2025-10-19 11:10:32","",""
"95","2025/04/28","140010230","3000","","",NULL,"","2025-10-19 11:10:32","",""
"96","2025/04/28","140030039","600","","",NULL,"","2025-10-19 11:10:32","",""
"97","2025/04/28","140030040","500","","",NULL,"","2025-10-19 11:10:32","",""
"98","2025/04/28","140310058","800","","",NULL,"","2025-10-19 11:10:32","",""
"99","2025/04/29","140010117","300","","",NULL,"","2025-10-19 11:10:32","",""
"100","2025/04/29","140010230","1000","","",NULL,"","2025-10-19 11:10:32","",""
"101","2025/04/29","140030039","100","","",NULL,"","2025-10-19 11:10:32","",""
"102","2025/04/29","140310058","1500","","",NULL,"","2025-10-19 11:10:32","",""
"104","2025/04/29","141320055","3200","","",NULL,"","2025-10-19 11:10:32","",""
"105","2025/04/30","140010230","450","","",NULL,"","2025-10-19 11:10:32","",""
"106","2025/04/30","140030039","200","","",NULL,"","2025-10-19 11:10:32","",""
"107","2025/04/30","140030040","1500","","",NULL,"","2025-10-19 11:10:32","",""
"109","2025/04/30","140310031","514","","",NULL,"","2025-10-19 11:10:32","",""
"110","2025/04/30","140310058","450","","",NULL,"","2025-10-19 11:10:32","",""
"112","2025/04/30","141320055","2200","","",NULL,"","2025-10-19 11:10:32","",""
"113","2025/05/03","140010230","1000","","",NULL,"","2025-10-19 11:10:32","",""
"114","2025/05/03","140310058","1950","","",NULL,"","2025-10-19 11:10:32","",""
"115","2025/05/03","141320055","900","","",NULL,"","2025-10-19 11:10:32","",""
"116","2025/05/04","140010230","2350","","",NULL,"","2025-10-19 11:10:32","",""
"117","2025/05/04","140030040","1400","","",NULL,"","2025-10-19 11:10:32","",""
"118","2025/05/05","140010230","3450","","",NULL,"","2025-10-19 11:10:32","",""
"119","2025/05/06","140010117","1800","","",NULL,"","2025-10-19 11:10:32","",""
"120","2025/05/06","140010230","1800","","",NULL,"","2025-10-19 11:10:32","",""
"121","2025/05/06","140030039","400","","",NULL,"","2025-10-19 11:10:32","",""
"122","2025/05/06","140030040","100","","",NULL,"","2025-10-19 11:10:32","",""
"123","2025/05/07","140010117","1275","","",NULL,"","2025-10-19 11:10:32","",""
"124","2025/05/07","140010230","450","","",NULL,"","2025-10-19 11:10:32","",""
"125","2025/05/07","140020181","300","","",NULL,"","2025-10-19 11:10:32","",""
"126","2025/05/10","140010117","825","","",NULL,"","2025-10-19 11:10:32","",""
"127","2025/05/10","140020181","1350","","",NULL,"","2025-10-19 11:10:32","",""
"128","2025/05/11","140010230","500","","",NULL,"","2025-10-19 11:10:32","",""
"129","2025/05/11","140020181","3150","","",NULL,"","2025-10-19 11:10:32","",""
"130","2025/05/11","140030039","600","","",NULL,"","2025-10-19 11:10:32","",""
"131","2025/05/12","140010230","1900","","",NULL,"","2025-10-19 11:10:32","",""
"132","2025/05/12","140020181","975","","",NULL,"","2025-10-19 11:10:32","",""
"133","2025/05/12","140030039","1100","","",NULL,"","2025-10-19 11:10:32","",""
"134","2025/05/13","140010117","375","","",NULL,"","2025-10-19 11:10:32","",""
"135","2025/05/13","140010230","1050","","",NULL,"","2025-10-19 11:10:32","",""
"136","2025/05/13","140020181","825","","",NULL,"","2025-10-19 11:10:32","",""
"137","2025/05/13","140030039","700","","",NULL,"","2025-10-19 11:10:32","",""
"140","2025/05/13","141320055","1200","","",NULL,"","2025-10-19 11:10:32","",""
"141","2025/05/14","140020181","1725","","",NULL,"","2025-10-19 11:10:32","",""
"142","2025/05/14","141320055","2100","","",NULL,"","2025-10-19 11:10:32","",""
"143","2025/05/15","140020181","1575","","",NULL,"","2025-10-19 11:10:32","",""
"144","2025/05/15","141320055","1300","","",NULL,"","2025-10-19 11:10:32","",""
"145","2025/05/17","140310058","1000","","",NULL,"","2025-10-19 11:10:32","",""
"146","2025/05/17","140310096","400","","",NULL,"","2025-10-19 11:10:32","",""
"147","2025/05/17","141320055","2400","","",NULL,"","2025-10-19 11:10:32","",""
"148","2025/05/18","140310007","1400","","",NULL,"","2025-10-19 11:10:32","",""
