"id","name","description","status","tags","created_by","created_at","updated_at","deleted_at"
"1","مدیریت عامل","","",NULL,"","2025-10-21 14:11:17","",""
"2","مالی","","",NULL,"","2025-10-21 14:11:17","",""
"3","فروش","","",NULL,"","2025-10-21 14:11:17","",""
"4","برنامه ریزی","","",NULL,"","2025-10-21 14:11:17","",""
"5","مهندسی صنایع","","",NULL,"","2025-10-21 14:11:17","",""
"6","انبار","","",NULL,"","2025-10-21 14:11:17","",""
"7","تزریق","","",NULL,"","2025-10-21 14:11:17","",""
