"id","customer_id","name","cable_id","cutting_length","tall_jacket_length","short_jacket_length","remaining_blue","remaining_brown","remaining_yellow","blue_insulation_length","brown_insulation_length","yellow_insulation_length","blue_terminal_id","brown_terminal_id","yellow_terminal_id","double_terminal_id","plug_id","cord_id","extra_earth_length","cord_length","ferrit_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"140230080","19","کابل برق اجاق تکنو گاز","120030008","110","5","2.5","6","6","6","","","","120110052","120110052","120110052","","5","","","0","","","",NULL,"","","",""
"140230082","2","power supply cord","120030074","203","9","8.4","4.5","4.5","4.5","6.2","8.4","5.8","120110051","120110051","120110051","","1","","","3","","","",NULL,"","","",""
"140230089","2","power suppiy cord sap code","120030095","200","8.7","2.5","4.5","4.5","4.5","","","","120110051","120110051","120110051","","5","","","3","","","",NULL,"","","",""
"140240004","14","کابل دو شاخه 2 متری (سفید)","120030006","200","20","2.5","14","3.2","6","20","20","20","null","120110001","120100023","","4","","","0","","","",NULL,"","","",""
"140280032","40","کابل دوشاخه سفید 0.75*3","120030006","237","24","2.5","4.5","4.5","6","12","12","24","120100002","120100002","120100023","","4","","","10","","","",NULL,"","","",""
"140310007","16","کابل برق دوشاخه دوقلو(9/6)","120030094","215","31","2.5","15","15","6","24","24","31","","","120100023","","4","","","9.5","","","",NULL,"","","",""
"140310012","16","كابل دو شاخه جارو برقی مشکی 9 متری","120040048","900","5","2","5","5","0","5","5","0","120100080","120100080","","","2","","","0","","","",NULL,"","","",""
"140310028","16","کابل دو شاخه ظرفشویی 1*3","120030107","178","16.5","2.5","15","15","15","9","9","16.5","","","","","5","","","0","","","",NULL,"","","",""
"140310058","16","کابل دو شاخه هسته فریتی","120030009","215","16","2.5","6","6","6","16","16","5.5","120100018","120100018","","120100018","4","","18","1","","","",NULL,"","","",""
"140310071","16","POWER CORD    کدفنی :1210070064","120030107","183","24","2.5","6","6","6","19.5","19.5","24","120100016","120100016","120100047","","5","","","1","","","",NULL,"","","",""
"140310083","16","کابل دوشاخه ظرفشویی 1×3 (طول سیم ارت بلندتر)","120030107","185","23.5","2.5","6","6","6","9","9","23.5","120100015","120100015","120100015","","5","","","0","","","",NULL,"","","",""
"140350045","4","کابل دوشاخه سفید 224 سانتی","120030006","224","4","2.5","6","15","6.7","4","4","4","120100132","","120100029","","5","","","0","","","",NULL,"","","",""
"140350046","4","کابل دوشاخه محصولات تاچ","120030006","227","22.6","2.5","4.5","4.5","6","10.5","10.5","22.6","120100002","120100002","120100015","","4","","","3","","","",NULL,"","","",""
"140350080","4","PLUG FOR SIDE BY SIDE  کدمقصد: 11120000010","120030006","247","35","2.5","4.5","4.5","6","35","35","15.6","120110051","120110051","120100023","","5","","","4","","{""sometype"":4}","",NULL,"","","",""
"140350081","4","مجموعه كابل دو شاخه محصولات تاچ","120030006","229","22","2.5","4.5","4.5","6","10","10","22","120100002","120100002","120110052","","5","","","0","","{""emersan"": 2, ""himalia"": 9.5}","",NULL,"","","",""
"140490001","15","کابل دوشاخه 2/35 متری ارت دار","120030006","235","20","2.5","6","6","6","","","","","","","","4","","","0","","","",NULL,"","","",""
"140490003","15","کابل برد به کمپرسور","120030006","255","200","60","0","0","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490005","15","کابل فن و لامپ","120030006","120","24","19","0","00","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490006","15","کابل برد فریزر نوفراست 1700","120030006","122","10","10","3.2","3.2","3.2","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490007","15","کابل برد کمپرسور فریزر نوفراست 1700","120030006","192","6","6","0","0","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490008","15","کابل سویچ برد دیجیتال فریزر","120030006","30","7","5","3.2","3.2","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490009","15","کابل هولدر لامپ برد دیجیتال","120030006","30","7","5","3.2","3.2","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140500010","1","کابل دو شاخه 0.75*3","120030009","200","15","2.5","10","10","10","","","","","","","","4","","","0","","","",NULL,"","","",""
"140530001","36","کابل دو شاخه دو در هفتادو پنج مدل 43 اینچ","120030039","221","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140530002","36","کابل دوشاخه دو در هفتادو وپنج مدل 49 اینچ","120030039","189","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","8","","","",NULL,"","","",""
